納品数,販売数,時系列インデックス,タイトル,累積販売数,消化率
66,1778,0,一番くじディズニーサプライズパーティー,1778,0.0020408608346409152
430717,26211,1,一番くじディズニーサプライズパーティー,27989,0.032126914454873215
440220,54614,2,一番くじディズニーサプライズパーティー,82603,0.09481508859608748
0,52526,3,一番くじディズニーサプライズパーティー,135129,0.15510657127344896
0,43324,4,一番くじディズニーサプライズパーティー,178453,0.20483562346691522
0,33439,5,一番くじディズニーサプライズパーティー,211892,0.24321826995148077
0,30467,6,一番くじディズニーサプライズパーティー,242359,0.2781895337585701
66,28382,7,一番くじディズニーサプライズパーティー,270741,0.31076754962402475
0,28975,8,一番くじディズニーサプライズパーティー,299716,0.34402623504793955
0,33564,9,一番くじディズニーサプライズパーティー,333280,0.3825523616249293
66,27721,10,一番くじディズニーサプライズパーティー,361001,0.4143716547616451
0,17611,11,一番くじディズニーサプライズパーティー,378612,0.43458627802309685
0,16957,12,一番くじディズニーサプライズパーティー,395569,0.4540502134409855
0,15704,13,一番くじディズニーサプライズパーティー,411273,0.4720759044124146
0,13112,14,一番くじディズニーサプライズパーティー,424385,0.4871263921873368
0,15973,15,一番くじディズニーサプライズパーティー,440358,0.5054608523176626
66,19166,16,一番くじディズニーサプライズパーティー,459524,0.5274603679288706
0,14625,17,一番くじディズニーサプライズパーティー,474149,0.5442475387424945
0,11859,18,一番くじディズニーサプライズパーティー,486008,0.5578597820709572
0,11010,19,一番くじディズニーサプライズパーティー,497018,0.5704975086116751
0,11813,20,一番くじディズニーサプライズパーティー,508831,0.5840569512661258
0,11638,21,一番くじディズニーサプライズパーティー,520469,0.5974155217911825
0,12175,22,一番くじディズニーサプライズパーティー,532644,0.6113904827932934
0,14346,23,一番くじディズニーサプライズパーティー,546990,0.6278574060406267
0,11319,24,一番くじディズニーサプライズパーティー,558309,0.6408498153698171
0,8259,25,一番くじディズニーサプライズパーティー,566568,0.6503298320364646
0,8851,26,一番くじディズニーサプライズパーティー,575419,0.6604893704208329
0,8746,27,一番くじディズニーサプライズパーティー,584165,0.6705283855275648
0,9009,28,一番くじディズニーサプライズパーティー,593174,0.6808692827487571
0,10685,29,一番くじディズニーサプライズパーティー,603859,0.6931339610491724
0,9311,30,一番くじディズニーサプライズパーティー,613170,0.7038215061736615
0,8362,31,一番くじディズニーサプライズパーティー,621532,0.7134197504364664
0,5410,32,一番くじディズニーサプライズパーティー,626942,0.719629568836583
0,5119,33,一番くじディズニーサプライズパーティー,632061,0.7255053655815363
0,4967,34,一番くじディズニーサプライズパーティー,637028,0.7312066905341018
0,4669,35,一番くじディズニーサプライズパーティー,641697,0.7365659589463281
0,5352,36,一番くじディズニーサプライズパーティー,647049,0.74270920258356
0,6794,37,一番くじディズニーサプライズパーティー,653843,0.7505076325669966
0,6065,38,一番くじディズニーサプライズパーティー,659908,0.7574692866514157
0,3866,39,一番くじディズニーサプライズパーティー,663774,0.7619068389499094
0,3805,40,一番くじディズニーサプライズパーティー,667579,0.7662743729633001
0,3828,41,一番くじディズニーサプライズパーティー,671407,0.7706683073136968
0,3166,42,一番くじディズニーサプライズパーティー,674573,0.7743023710946154
0,3474,43,一番くじディズニーサプライズパーティー,678047,0.7782899698232669
0,4440,44,一番くじディズニーサプライズパーティー,682487,0.7833863827061723
0,4422,45,一番くじディズニーサプライズパーティー,686909,0.7884621344557685
0,2661,46,一番くじディズニーサプライズパーティー,689570,0.7915165386632935
0,2647,47,一番くじディズニーサプライズパーティー,692217,0.794554873100467
0,2760,48,一番くじディズニーサプライズパーティー,694977,0.797722913541192
0,3435,49,一番くじディズニーサプライズパーティー,698412,0.8016657464810073
0,3358,50,一番くじディズニーサプライズパーティー,701770,0.8055201956838892
0,4073,51,一番くじディズニーサプライズパーティー,705843,0.8101953510154373
0,3705,52,一番くじディズニーサプライズパーティー,709548,0.8144481009548887
0,2581,53,一番くじディズニーサプライズパーティー,712129,0.8174106779032623
0,2467,54,一番くじディズニーサプライズパーティー,714596,0.820242401007345
0,2364,55,一番くじディズニーサプライズパーティー,716960,0.8229558965152703
0,2190,56,一番くじディズニーサプライズパーティー,719150,0.8254696677345411
0,2330,57,一番くじディズニーサプライズパーティー,721480,0.8281441366573271
0,2982,58,一番くじディズニーサプライズパーティー,724462,0.8315669977421972
0,2711,59,一番くじディズニーサプライズパーティー,727173,0.834678793986692
0,25,0,一番くじプレミアムＴｏＬＯＶＥる＊,25,0.00125
5200,626,1,一番くじプレミアムＴｏＬＯＶＥる＊,651,0.03255
